timestamp,pendulum_joint1_pos,pendulum_joint1_vel,pendulum_joint2_pos,pendulum_joint2_vel
1776714588.3490536,-0.03877523028243328,-9.575673587391975e-16,-0.3616512071056621,-8.881784197001252e-15
1776714588.3690436,-0.038776441689210864,-0.00043156287893819645,-0.36165508651622724,-0.0002957341500160471
1776714588.3890235,-0.03878551098607354,-0.0016142154235126022,-0.3616543418386463,0.000788150201204818
1776714588.4090793,-0.03885969296126991,-0.006223619201850036,-0.3616041813610302,0.004365238406808913
1776714588.4293447,-0.039037084074860465,-0.00825037864865015,-0.36146229657019174,0.007751204707610482
1776714588.4492826,-0.03904293543802996,0.006908927382930877,-0.3613573263534558,0.0018084086058174353
1776714588.4690464,-0.038916775550404244,0.007816163913803548,-0.36140912599386177,-0.008139609106931456
1776714588.489078,-0.03878639885164213,0.0035018316822523765,-0.36157762558752016,-0.009147672299827603
1776714588.5090773,-0.03879638703248785,-0.004033516958445241,-0.36161491195802403,0.005642272468323384
1776714588.5290666,-0.03903997159272065,-0.01851372866792242,-0.361424006457009,0.013127422911903386
1776714588.5490847,-0.03916263324027815,0.005423371095777604,-0.36123126999280647,0.0008821294046030825
1776714588.5690625,-0.03892040238779238,0.017561726549828807,-0.3613558562672672,-0.0119839883109778
1776714588.5891776,-0.038744799540680885,0.002012096826235321,-0.36156512731688556,-0.013546797815929157
1776714588.6091533,-0.03878254949534264,-0.006160874950873252,-0.3617385230335223,0.002234897527480628
1776714588.6296465,-0.03900041380501602,-0.010810044628937449,-0.36157527781595,0.010766001170795292
1776714588.6490486,-0.03911728474259826,-0.00011202579462744888,-0.36139789388989313,0.004014729859568522
1776714588.6690443,-0.03894108437282141,0.01631653092168321,-0.3614300503026918,-0.007476130235617662
1776714588.6895378,-0.038792358159410484,0.0030966060309218363,-0.3616253261381394,-0.011002182661430382
1776714588.7090974,-0.038808184585068364,-0.00785113238617835,-0.3617990665970414,-0.0021610539436029974
1776714588.7293835,-0.038988236388716055,-0.006766084913677847,-0.3616763763409494,0.014244045493653656
1776714588.7490528,-0.03914476728026542,-0.00881169953548587,-0.3614229190526028,0.008764390019903257
1776714588.7691984,-0.03911095779318646,0.011137404233439702,-0.36141117156958863,-0.008098616121927193
1776714588.7893584,-0.038944319568920506,0.011661652274966003,-0.36157030737997364,-0.011384332625341997
1776714588.8090565,-0.03887296078008325,-0.005888539439074622,-0.3617499100863554,-0.0048455578531902965
1776714588.8291917,-0.038962061485176176,-0.00311110641107655,-0.3616892643003834,0.009120486882409073
1776714588.8491707,-0.03910321235555885,-0.0073345890206366615,-0.36147426429361995,0.010759039755779964
1776714588.8690615,-0.03913780457162204,0.0013991619960475876,-0.36135693700526705,-0.0020198039290222347
1776714588.8890526,-0.03900921435985598,0.011606256109416707,-0.3614893761449579,-0.008969133532487739
1776714588.9091637,-0.03891550942325026,-0.002275919601640211,-0.36163823742774504,-0.007664085440436841
1776714588.929137,-0.039003460432739986,-0.0058740576873632655,-0.361649754539939,0.0067258901200024646
1776714588.9490976,-0.039129590459779706,-0.0021522882958407846,-0.36146720980451197,0.004557523422396681
1776714588.9690485,-0.039176052030178,-0.0019805151343853383,-0.36151008841451526,-0.011283370491520506
1776714588.9890447,-0.03910643972287965,0.008197105764255752,-0.36166182925987633,-0.0018546779938781732
1776714589.0091352,-0.03897584948656216,0.006282994349821103,-0.36168727883509094,0.005462910572323398
1776714589.0291312,-0.03896324487700099,-0.006086349429408472,-0.3615871039962401,0.00471333323129608
1776714589.0490348,-0.03909587690306863,-0.006629232375020749,-0.36146259764532307,0.005891189528873797
1776714589.0691235,-0.03928711459479784,-0.007853485911646946,-0.36143780684666355,-0.0034838532850378634
1776714589.0890508,-0.03926082356046226,0.006749193737600329,-0.36155002707109296,-0.004917796050940781
1776714589.1094089,-0.03908072223219125,0.016974677919618916,-0.3615846071752416,0.0015371702667268394
1776714589.1294348,-0.038935908963373685,-0.004257130353498589,-0.36152590152297626,0.004117558269590482
1776714589.1490452,-0.0391093705440164,-0.010777220277742167,-0.3614238184299047,0.004019807663864672
1776714589.169044,-0.039301029844030534,-0.0044772290837247625,-0.36139428756575187,0.000411774939028442
1776714589.1889946,-0.03930325764010221,0.0026806757525877356,-0.36140287511808705,-0.00289343659600938
1776714589.2097454,-0.03910249873933826,0.015562253955102148,-0.3614389728177805,0.00024400171935123893
1776714589.2290943,-0.0388658589614365,0.005906400502039666,-0.3614609807817656,-0.0018631587341804146
1776714589.2494946,-0.038894174193764126,-0.008162398331785142,-0.36154222171177963,-0.003524527905493846
